"Statistic Label","CensusYear","Principal Economic Status","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Doctorate (Ph.D.)","Number","2585"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Not stated","Number","34931"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Economic status - other","Number","6807"
"Population Aged 15 Years and Over","2011","Retired","Male","Total education ceased and not ceased","Number","237409"
"Population Aged 15 Years and Over","2011","Retired","Male","No formal education","Number","6779"
"Population Aged 15 Years and Over","2011","Retired","Male","Primary","Number","90705"
"Population Aged 15 Years and Over","2011","Retired","Male","Lower secondary","Number","31968"
"Population Aged 15 Years and Over","2011","Retired","Male","Upper secondary","Number","29103"
"Population Aged 15 Years and Over","2011","Retired","Male","Technical/vocational","Number","14404"
"Population Aged 15 Years and Over","2011","Retired","Male","Advanced certificate/completed apprenticeship","Number","7499"
"Population Aged 15 Years and Over","2011","Retired","Male","Higher certificate","Number","5285"
"Population Aged 15 Years and Over","2011","Retired","Male","Ordinary bachelor degree/professional qualification or both","Number","11942"
"Population Aged 15 Years and Over","2011","Retired","Male","Honours bachelor degree/professional qualification or both","Number","8364"
"Population Aged 15 Years and Over","2011","Retired","Male","Postgraduate diploma or degree","Number","7988"
"Population Aged 15 Years and Over","2011","Retired","Male","Doctorate (Ph.D.)","Number","2036"
"Population Aged 15 Years and Over","2011","Retired","Male","Not stated","Number","17743"
"Population Aged 15 Years and Over","2011","Retired","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Retired","Male","Economic status - other","Number","3593"
"Population Aged 15 Years and Over","2011","Retired","Female","Total education ceased and not ceased","Number","219985"
"Population Aged 15 Years and Over","2011","Retired","Female","No formal education","Number","5083"
"Population Aged 15 Years and Over","2011","Retired","Female","Primary","Number","70471"
"Population Aged 15 Years and Over","2011","Retired","Female","Lower secondary","Number","37679"
"Population Aged 15 Years and Over","2011","Retired","Female","Upper secondary","Number","36910"
"Population Aged 15 Years and Over","2011","Retired","Female","Technical/vocational","Number","10878"
"Population Aged 15 Years and Over","2011","Retired","Female","Advanced certificate/completed apprenticeship","Number","3040"
"Population Aged 15 Years and Over","2011","Retired","Female","Higher certificate","Number","6064"
"Population Aged 15 Years and Over","2011","Retired","Female","Ordinary bachelor degree/professional qualification or both","Number","14378"
"Population Aged 15 Years and Over","2011","Retired","Female","Honours bachelor degree/professional qualification or both","Number","7024"
"Population Aged 15 Years and Over","2011","Retired","Female","Postgraduate diploma or degree","Number","7507"
"Population Aged 15 Years and Over","2011","Retired","Female","Doctorate (Ph.D.)","Number","549"
"Population Aged 15 Years and Over","2011","Retired","Female","Not stated","Number","17188"
"Population Aged 15 Years and Over","2011","Retired","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Retired","Female","Economic status - other","Number","3214"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Total education ceased and not ceased","Number","156993"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","No formal education","Number","11207"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Primary","Number","46942"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Lower secondary","Number","35638"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Upper secondary","Number","21321"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Technical/vocational","Number","9719"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Advanced certificate/completed apprenticeship","Number","4512"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Higher certificate","Number","2954"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","3578"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Honours bachelor degree/professional qualification or both","Number","2292"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Postgraduate diploma or degree","Number","1682"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Doctorate (Ph.D.)","Number","174"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Not stated","Number","8851"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Both sexes","Economic status - other","Number","8123"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Total education ceased and not ceased","Number","79502"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","No formal education","Number","6268"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Primary","Number","24990"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Lower secondary","Number","18278"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Upper secondary","Number","8828"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Technical/vocational","Number","4800"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Advanced certificate/completed apprenticeship","Number","2987"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Higher certificate","Number","1278"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Ordinary bachelor degree/professional qualification or both","Number","1375"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Honours bachelor degree/professional qualification or both","Number","916"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Postgraduate diploma or degree","Number","639"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Doctorate (Ph.D.)","Number","105"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Not stated","Number","4743"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Male","Economic status - other","Number","4295"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Total education ceased and not ceased","Number","77491"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","No formal education","Number","4939"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Primary","Number","21952"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Lower secondary","Number","17360"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Upper secondary","Number","12493"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Technical/vocational","Number","4919"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Advanced certificate/completed apprenticeship","Number","1525"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Higher certificate","Number","1676"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Ordinary bachelor degree/professional qualification or both","Number","2203"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Honours bachelor degree/professional qualification or both","Number","1376"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Postgraduate diploma or degree","Number","1043"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Doctorate (Ph.D.)","Number","69"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Not stated","Number","4108"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Unable to work due to permanent sickness or disability","Female","Economic status - other","Number","3828"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Total education ceased and not ceased","Number","13316"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","No formal education","Number","453"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Primary","Number","2139"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Lower secondary","Number","2044"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Upper secondary","Number","1854"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Technical/vocational","Number","769"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Advanced certificate/completed apprenticeship","Number","384"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Higher certificate","Number","407"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","735"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Honours bachelor degree/professional qualification or both","Number","594"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Postgraduate diploma or degree","Number","597"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Doctorate (Ph.D.)","Number","66"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Not stated","Number","1266"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Others not in labour force","Both sexes","Economic status - other","Number","2008"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Total education ceased and not ceased","Number","6488"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","No formal education","Number","258"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Primary","Number","1027"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Lower secondary","Number","1183"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Upper secondary","Number","771"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Technical/vocational","Number","317"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Advanced certificate/completed apprenticeship","Number","219"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Higher certificate","Number","182"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Ordinary bachelor degree/professional qualification or both","Number","271"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Honours bachelor degree/professional qualification or both","Number","229"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Postgraduate diploma or degree","Number","200"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Doctorate (Ph.D.)","Number","36"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Not stated","Number","658"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Others not in labour force","Male","Economic status - other","Number","1137"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Total education ceased and not ceased","Number","6828"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","No formal education","Number","195"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Primary","Number","1112"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Lower secondary","Number","861"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Upper secondary","Number","1083"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Technical/vocational","Number","452"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Advanced certificate/completed apprenticeship","Number","165"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Higher certificate","Number","225"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Ordinary bachelor degree/professional qualification or both","Number","464"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Honours bachelor degree/professional qualification or both","Number","365"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Postgraduate diploma or degree","Number","397"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Doctorate (Ph.D.)","Number","30"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Not stated","Number","608"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Others not in labour force","Female","Economic status - other","Number","871"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Total education ceased and not ceased","Number","3755313"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","No formal education","Number","52214"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Primary","Number","334284"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Lower secondary","Number","449766"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Upper secondary","Number","573643"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Technical/vocational","Number","271532"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Advanced certificate/completed apprenticeship","Number","182318"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Higher certificate","Number","153351"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","237117"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Honours bachelor degree/professional qualification or both","Number","331293"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Postgraduate diploma or degree","Number","284107"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Doctorate (Ph.D.)","Number","28759"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Not stated","Number","198668"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Economic status - total at school, university, etc.","Number","427128"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Both sexes","Economic status - other","Number","231133"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Total education ceased and not ceased","Number","1839849"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","No formal education","Number","28296"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Primary","Number","175603"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Lower secondary","Number","243128"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Upper secondary","Number","268675"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Technical/vocational","Number","122938"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Advanced certificate/completed apprenticeship","Number","119588"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Higher certificate","Number","66290"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Ordinary bachelor degree/professional qualification or both","Number","106692"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Honours bachelor degree/professional qualification or both","Number","147460"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Postgraduate diploma or degree","Number","119676"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Doctorate (Ph.D.)","Number","16016"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Not stated","Number","99422"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Economic status - total at school, university, etc.","Number","211054"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Male","Economic status - other","Number","115011"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Total education ceased and not ceased","Number","1915464"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","No formal education","Number","23918"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Primary","Number","158681"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Lower secondary","Number","206638"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Upper secondary","Number","304968"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Technical/vocational","Number","148594"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Advanced certificate/completed apprenticeship","Number","62730"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Higher certificate","Number","87061"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Ordinary bachelor degree/professional qualification or both","Number","130425"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Honours bachelor degree/professional qualification or both","Number","183833"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Postgraduate diploma or degree","Number","164431"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Doctorate (Ph.D.)","Number","12743"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Not stated","Number","99246"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Economic status - total at school, university, etc.","Number","216074"
"Population Aged 15 Years and Over","2016","All persons aged 15 years and over","Female","Economic status - other","Number","116122"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Total education ceased and not ceased","Number","2006641"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","No formal education","Number","8607"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Primary","Number","68537"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Lower secondary","Number","206870"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Upper secondary","Number","340646"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Technical/vocational","Number","171807"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Advanced certificate/completed apprenticeship","Number","138262"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Higher certificate","Number","112571"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","171073"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Honours bachelor degree/professional qualification or both","Number","277861"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Postgraduate diploma or degree","Number","237158"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Doctorate (Ph.D.)","Number","23296"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Not stated","Number","99562"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Persons at work","Both sexes","Economic status - other","Number","150391"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Total education ceased and not ceased","Number","1076674"
"Population Aged 15 Years and Over","2016","Persons at work","Male","No formal education","Number","5865"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Primary","Number","47978"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Lower secondary","Number","141601"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Upper secondary","Number","186674"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Technical/vocational","Number","84098"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Advanced certificate/completed apprenticeship","Number","95870"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Higher certificate","Number","52173"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Ordinary bachelor degree/professional qualification or both","Number","83182"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Honours bachelor degree/professional qualification or both","Number","127136"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Postgraduate diploma or degree","Number","102122"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Doctorate (Ph.D.)","Number","12637"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Not stated","Number","56636"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Persons at work","Male","Economic status - other","Number","80702"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Total education ceased and not ceased","Number","929967"
"Population Aged 15 Years and Over","2016","Persons at work","Female","No formal education","Number","2742"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Primary","Number","20559"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Lower secondary","Number","65269"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Upper secondary","Number","153972"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Technical/vocational","Number","87709"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Advanced certificate/completed apprenticeship","Number","42392"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Higher certificate","Number","60398"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Ordinary bachelor degree/professional qualification or both","Number","87891"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Honours bachelor degree/professional qualification or both","Number","150725"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Postgraduate diploma or degree","Number","135036"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Doctorate (Ph.D.)","Number","10659"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Not stated","Number","42926"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Persons at work","Female","Economic status - other","Number","69689"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Total education ceased and not ceased","Number","31434"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","No formal education","Number","308"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Primary","Number","1302"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Lower secondary","Number","3888"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Upper secondary","Number","7538"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Technical/vocational","Number","2726"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Advanced certificate/completed apprenticeship","Number","888"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Higher certificate","Number","935"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","1284"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Honours bachelor degree/professional qualification or both","Number","2629"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Postgraduate diploma or degree","Number","1581"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Doctorate (Ph.D.)","Number","156"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Not stated","Number","928"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Both sexes","Economic status - other","Number","7271"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Total education ceased and not ceased","Number","17477"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","No formal education","Number","199"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Primary","Number","880"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Lower secondary","Number","2513"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Upper secondary","Number","4594"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Technical/vocational","Number","1373"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Advanced certificate/completed apprenticeship","Number","452"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Higher certificate","Number","465"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Ordinary bachelor degree/professional qualification or both","Number","644"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Honours bachelor degree/professional qualification or both","Number","1335"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Postgraduate diploma or degree","Number","690"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Doctorate (Ph.D.)","Number","83"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Not stated","Number","511"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Male","Economic status - other","Number","3738"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Total education ceased and not ceased","Number","13957"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","No formal education","Number","109"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Primary","Number","422"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Lower secondary","Number","1375"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Upper secondary","Number","2944"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Technical/vocational","Number","1353"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Advanced certificate/completed apprenticeship","Number","436"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Higher certificate","Number","470"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Ordinary bachelor degree/professional qualification or both","Number","640"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Honours bachelor degree/professional qualification or both","Number","1294"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Postgraduate diploma or degree","Number","891"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Doctorate (Ph.D.)","Number","73"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Not stated","Number","417"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Unemployed looking for first regular job","Female","Economic status - other","Number","3533"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Total education ceased and not ceased","Number","265962"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","No formal education","Number","6548"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Primary","Number","28872"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Lower secondary","Number","54090"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Upper secondary","Number","50389"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Technical/vocational","Number","24185"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Advanced certificate/completed apprenticeship","Number","11909"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Higher certificate","Number","8519"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","10183"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Honours bachelor degree/professional qualification or both","Number","11387"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Postgraduate diploma or degree","Number","7988"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Doctorate (Ph.D.)","Number","656"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Not stated","Number","16774"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Both sexes","Economic status - other","Number","34462"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Total education ceased and not ceased","Number","153453"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","No formal education","Number","4192"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Primary","Number","18835"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Lower secondary","Number","35602"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Upper secondary","Number","28037"
