"Statistic Label","CensusYear","Age Group","Principal Economic Status","Sex","Detailed Marital Status","UNIT","VALUE"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Both sexes","Married (first marriage)","Number","50720"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Both sexes","Re-married","Number","1745"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Both sexes","Separated","Number","3286"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Both sexes","Divorced","Number","2037"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Both sexes","Widowed","Number","1853"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Male","All marital status","Number","4809"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Male","Single","Number","1178"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Male","Married (first marriage)","Number","2843"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Male","Re-married","Number","172"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Male","Separated","Number","236"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Male","Divorced","Number","195"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Male","Widowed","Number","185"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Female","All marital status","Number","59167"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Female","Single","Number","3157"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Female","Married (first marriage)","Number","47877"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Female","Re-married","Number","1573"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Female","Separated","Number","3050"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Female","Divorced","Number","1842"
"Population Aged 15 Years and Over","2011","45 - 54 years","Looking after home/family","Female","Widowed","Number","1668"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Both sexes","All marital status","Number","7170"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Both sexes","Single","Number","1342"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Both sexes","Married (first marriage)","Number","4149"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Both sexes","Re-married","Number","249"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Both sexes","Separated","Number","419"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Both sexes","Divorced","Number","391"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Both sexes","Widowed","Number","620"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Male","All marital status","Number","3796"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Male","Single","Number","731"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Male","Married (first marriage)","Number","2262"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Male","Re-married","Number","133"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Male","Separated","Number","253"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Male","Divorced","Number","209"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Male","Widowed","Number","208"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Female","All marital status","Number","3374"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Female","Single","Number","611"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Female","Married (first marriage)","Number","1887"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Female","Re-married","Number","116"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Female","Separated","Number","166"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Female","Divorced","Number","182"
"Population Aged 15 Years and Over","2011","45 - 54 years","Retired","Female","Widowed","Number","412"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Both sexes","All marital status","Number","37456"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Both sexes","Single","Number","12287"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Both sexes","Married (first marriage)","Number","16892"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Both sexes","Re-married","Number","1015"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Both sexes","Separated","Number","3583"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Both sexes","Divorced","Number","2953"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Both sexes","Widowed","Number","726"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Male","All marital status","Number","18315"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Male","Single","Number","7428"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Male","Married (first marriage)","Number","7350"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Male","Re-married","Number","454"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Male","Separated","Number","1554"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Male","Divorced","Number","1316"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Male","Widowed","Number","213"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Female","All marital status","Number","19141"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Female","Single","Number","4859"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Female","Married (first marriage)","Number","9542"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Female","Re-married","Number","561"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Female","Separated","Number","2029"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Female","Divorced","Number","1637"
"Population Aged 15 Years and Over","2011","45 - 54 years","Unable to work due to permanent sickness or disability","Female","Widowed","Number","513"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Both sexes","All marital status","Number","1800"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Both sexes","Single","Number","604"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Both sexes","Married (first marriage)","Number","884"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Both sexes","Re-married","Number","44"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Both sexes","Separated","Number","110"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Both sexes","Divorced","Number","105"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Both sexes","Widowed","Number","53"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Male","All marital status","Number","850"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Male","Single","Number","341"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Male","Married (first marriage)","Number","381"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Male","Re-married","Number","17"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Male","Separated","Number","44"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Male","Divorced","Number","46"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Male","Widowed","Number","21"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Female","All marital status","Number","950"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Female","Single","Number","263"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Female","Married (first marriage)","Number","503"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Female","Re-married","Number","27"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Female","Separated","Number","66"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Female","Divorced","Number","59"
"Population Aged 15 Years and Over","2011","45 - 54 years","Others not in labour force","Female","Widowed","Number","32"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Both sexes","All marital status","Number","463308"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Both sexes","Single","Number","59289"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Both sexes","Married (first marriage)","Number","314521"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Both sexes","Re-married","Number","13020"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Both sexes","Separated","Number","28695"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Both sexes","Divorced","Number","20918"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Both sexes","Widowed","Number","26865"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Male","All marital status","Number","231990"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Male","Single","Number","34883"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Male","Married (first marriage)","Number","158778"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Male","Re-married","Number","7726"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Male","Separated","Number","13585"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Male","Divorced","Number","9662"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Male","Widowed","Number","7356"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Female","All marital status","Number","231318"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Female","Single","Number","24406"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Female","Married (first marriage)","Number","155743"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Female","Re-married","Number","5294"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Female","Separated","Number","15110"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Female","Divorced","Number","11256"
"Population Aged 15 Years and Over","2011","55 - 64 years","All persons aged 15 years and over","Female","Widowed","Number","19509"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Both sexes","All marital status","Number","226643"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Both sexes","Single","Number","26101"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Both sexes","Married (first marriage)","Number","159933"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Both sexes","Re-married","Number","6718"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Both sexes","Separated","Number","12960"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Both sexes","Divorced","Number","9981"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Both sexes","Widowed","Number","10950"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Male","All marital status","Number","130298"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Male","Single","Number","15035"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Male","Married (first marriage)","Number","96816"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Male","Re-married","Number","4556"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Male","Separated","Number","6152"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Male","Divorced","Number","4433"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Male","Widowed","Number","3306"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Female","All marital status","Number","96345"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Female","Single","Number","11066"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Female","Married (first marriage)","Number","63117"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Female","Re-married","Number","2162"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Female","Separated","Number","6808"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Female","Divorced","Number","5548"
"Population Aged 15 Years and Over","2011","55 - 64 years","Persons at work","Female","Widowed","Number","7644"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Both sexes","All marital status","Number","411"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Both sexes","Single","Number","72"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Both sexes","Married (first marriage)","Number","218"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Both sexes","Re-married","Number","12"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Both sexes","Separated","Number","37"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Both sexes","Divorced","Number","37"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Both sexes","Widowed","Number","35"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Male","All marital status","Number","235"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Male","Single","Number","49"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Male","Married (first marriage)","Number","129"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Male","Re-married","Number","7"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Male","Separated","Number","19"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Male","Divorced","Number","23"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Male","Widowed","Number","8"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Female","All marital status","Number","176"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Female","Single","Number","23"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Female","Married (first marriage)","Number","89"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Female","Re-married","Number","5"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Female","Separated","Number","18"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Female","Divorced","Number","14"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed looking for first regular job","Female","Widowed","Number","27"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Both sexes","All marital status","Number","50136"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Both sexes","Single","Number","9479"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Both sexes","Married (first marriage)","Number","28141"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Both sexes","Re-married","Number","1488"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Both sexes","Separated","Number","4960"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Both sexes","Divorced","Number","3533"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Both sexes","Widowed","Number","2535"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Male","All marital status","Number","33497"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Male","Single","Number","6881"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Male","Married (first marriage)","Number","19377"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Male","Re-married","Number","1056"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Male","Separated","Number","2942"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Male","Divorced","Number","2152"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Male","Widowed","Number","1089"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Female","All marital status","Number","16639"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Female","Single","Number","2598"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Female","Married (first marriage)","Number","8764"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Female","Re-married","Number","432"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Female","Separated","Number","2018"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Female","Divorced","Number","1381"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unemployed having lost or given up previous job","Female","Widowed","Number","1446"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Both sexes","All marital status","Number","1677"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Both sexes","Single","Number","341"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Both sexes","Married (first marriage)","Number","848"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Both sexes","Re-married","Number","69"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Both sexes","Separated","Number","164"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Both sexes","Divorced","Number","161"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Both sexes","Widowed","Number","94"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Male","All marital status","Number","710"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Male","Single","Number","168"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Male","Married (first marriage)","Number","387"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Male","Re-married","Number","30"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Male","Separated","Number","49"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Male","Divorced","Number","57"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Male","Widowed","Number","19"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Female","All marital status","Number","967"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Female","Single","Number","173"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Female","Married (first marriage)","Number","461"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Female","Re-married","Number","39"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Female","Separated","Number","115"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Female","Divorced","Number","104"
"Population Aged 15 Years and Over","2011","55 - 64 years","Student or pupil","Female","Widowed","Number","75"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Both sexes","All marital status","Number","64480"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Both sexes","Single","Number","1909"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Both sexes","Married (first marriage)","Number","53733"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Both sexes","Re-married","Number","1227"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Both sexes","Separated","Number","2005"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Both sexes","Divorced","Number","1078"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Both sexes","Widowed","Number","4528"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Male","All marital status","Number","3259"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Male","Single","Number","626"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Male","Married (first marriage)","Number","2093"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Male","Re-married","Number","125"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Male","Separated","Number","137"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Male","Divorced","Number","106"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Male","Widowed","Number","172"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Female","All marital status","Number","61221"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Female","Single","Number","1283"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Female","Married (first marriage)","Number","51640"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Female","Re-married","Number","1102"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Female","Separated","Number","1868"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Female","Divorced","Number","972"
"Population Aged 15 Years and Over","2011","55 - 64 years","Looking after home/family","Female","Widowed","Number","4356"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Both sexes","All marital status","Number","64595"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Both sexes","Single","Number","9242"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Both sexes","Married (first marriage)","Number","41917"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Both sexes","Re-married","Number","2029"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Both sexes","Separated","Number","3047"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Both sexes","Divorced","Number","2501"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Both sexes","Widowed","Number","5859"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Male","All marital status","Number","33908"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Male","Single","Number","4573"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Male","Married (first marriage)","Number","23594"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Male","Re-married","Number","1084"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Male","Separated","Number","1662"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Male","Divorced","Number","1168"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Male","Widowed","Number","1827"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Female","All marital status","Number","30687"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Female","Single","Number","4669"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Female","Married (first marriage)","Number","18323"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Female","Re-married","Number","945"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Female","Separated","Number","1385"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Female","Divorced","Number","1333"
"Population Aged 15 Years and Over","2011","55 - 64 years","Retired","Female","Widowed","Number","4032"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unable to work due to permanent sickness or disability","Both sexes","All marital status","Number","53986"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unable to work due to permanent sickness or disability","Both sexes","Single","Number","11791"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unable to work due to permanent sickness or disability","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unable to work due to permanent sickness or disability","Both sexes","Married (first marriage)","Number","29044"
"Population Aged 15 Years and Over","2011","55 - 64 years","Unable to work due to permanent sickness or disability","Both sexes","Re-married","Number","1433"
